id,name,description,created_by
1,acoustical,Properties related to the acoustical category.,
2,atomic,Properties related to the atomic category.,
3,chemical,Properties related to the chemical category.,
4,circularity,Properties related to the circularity category.,
5,electrical,Properties related to the electrical category.,
6,general,Properties related to the general category.,
7,haptic,Properties related to the haptic category.,
8,identification,Properties related to the identification category.,
9,impact,Properties related to the impact category.,
10,magnetic,Properties related to the magnetic category.,
11,manufacturing,Properties related to the manufacturing category.,
12,market,Properties related to the market category.,
13,mechanical,Properties related to the mechanical category.,
14,optical,Properties related to the optical category.,
15,thermal,Properties related to the thermal category.,
16,surface,Properties related to the surface category.,